zona_id,city,zone_type,lat,lng,plataforma,restaurante,delivery_fee,eta_min,eta_max,coca_price,coca_available,coca_name,agua_price,agua_available,agua_name,descuentos,timestamp,error
cdmx_polanco,CDMX,wealthy,19.4326,-99.195,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:11.161954,
cdmx_roma,CDMX,wealthy,19.4195,-99.1575,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:16.149862,
cdmx_condesa,CDMX,wealthy,19.4127,-99.1721,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:20.657792,
cdmx_coyoacan,CDMX,middle,19.3467,-99.1617,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:25.674724,
cdmx_iztapalapa,CDMX,middle,19.3557,-99.0629,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:31.122212,
cdmx_ecatepec,CDMX,peripheral,19.6016,-99.06,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:35.867391,
cdmx_chalco,CDMX,peripheral,19.262,-98.899,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:40.416513,
gdl_chapultepec,Guadalajara,wealthy,20.6736,-103.382,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:45.157587,
gdl_providencia,Guadalajara,wealthy,20.6891,-103.3849,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:49.940111,
gdl_centro,Guadalajara,middle,20.6767,-103.3475,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:18:54.722778,
gdl_zapopan,Guadalajara,middle,20.7214,-103.3916,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:00.787632,
gdl_tlaquepaque,Guadalajara,middle,20.6418,-103.3117,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:05.582884,
gdl_tonala,Guadalajara,peripheral,20.6238,-103.2341,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:10.221907,
gdl_periferico,Guadalajara,peripheral,20.6102,-103.4089,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:15.029565,
mty_san_pedro,Monterrey,wealthy,25.6577,-100.3639,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:19.942875,
mty_centro,Monterrey,wealthy,25.6714,-100.309,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:24.559427,
mty_obispado,Monterrey,middle,25.6791,-100.3558,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:29.138623,
mty_cumbres,Monterrey,middle,25.7484,-100.3697,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:34.232717,
mty_apodaca,Monterrey,peripheral,25.7797,-100.1879,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:38.914938,
mty_juarez,Monterrey,peripheral,25.65,-100.11,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:43.788306,
mty_escobedo,Monterrey,peripheral,25.7964,-100.3167,uber_eats,OXXO 🛒(Joyas),,10,28,25.0,True,Coca-Cola · Refresco original reducido en azúcar (600 ml) (no 500ml exacto) @ OXXO 🛒(Joyas) (tienda_conveniencia),53.0,True,Ciel · Agua natural purificada (10 L),2 Ofertas disponibles,2026-04-05T11:19:48.564230,
